人口総数,"15歳未満人口","15〜64歳人口","65歳以上人口",出生数,死亡数,転入者数,転出者数,昼間人口,"高齢単身世帯数",婚姻件数,離婚件数,政府統計の総合窓口より2012年の人口状況
66110,8513,41171,16294,402,677,1921,1987,69400,2206,294,134,十和田市　　　
41258,6475,26191,8381,421,367,2152,2445,43865,1416,310,108,三沢市　　　　
61066,8190,37140,15414,466,700,2556,2773,63641,2726,306,133,むつ市　　　　
37243,4268,21792,11183,217,485,722,1030,38321,1225,125,70,つがる市　　　
33764,4081,20292,9391,216,417,667,828,31533,822,149,65,平川市　　　　
12361,1257,7386,3718,77,173,236,413,11988,510,52,19,平内町　　　　
3217,208,1589,1420,8,50,76,139,3561,256,7,3,今別町　　　　
3271,332,1872,1067,22,52,51,68,2938,108,8,5,蓬田村　　　　
7089,611,3658,2819,24,121,175,230,7671,468,15,11,外ヶ浜町　　　
11449,1155,6346,3948,60,189,264,339,12400,583,37,21,鰺ヶ沢町　　　
9691,901,5021,3769,34,175,184,293,10473,546,14,12,深浦町　　　　
1594,145,904,544,11,19,36,45,1517,45,2,1,西目屋村　　　
16021,1977,9642,4402,98,214,381,406,14510,423,61,24,藤崎町　　　　
10978,1062,6236,3680,58,142,231,288,10041,486,33,13,大鰐町　　　　
8153,940,4896,2317,52,91,203,254,6818,185,32,11,田舎館村　　　
15227,1758,8986,4478,87,217,286,318,14654,494,62,27,板柳町　　　　
14270,1779,8234,4257,80,180,349,341,13774,468,49,28,鶴田町　　　　
12743,1277,7257,4209,61,176,252,379,13251,574,39,25,中泊町　　　　
14314,1612,8473,4166,88,162,417,467,14598,706,52,37,野辺地町　　　
16759,1949,9656,5152,103,200,441,507,17551,631,66,34,七戸町　　　　
10241,1283,6029,2921,62,122,278,284,9556,265,41,17,六戸町　　　　
4881,563,2809,1507,25,68,157,160,4981,217,16,9,横浜町　　　　
19106,2366,11059,5668,138,224,521,544,18051,560,91,35,東北町　　　　
11095,1453,7370,2235,98,104,526,542,15434,308,71,33,六ケ所村　　　
24211,3811,15307,5055,221,222,977,940,21240,576,93,55,おいらせ町　　
6340,837,3990,1513,50,78,290,254,6364,221,33,17,大間町　　　　
7252,822,4435,1995,56,86,227,315,7692,203,38,7,東通村　　　　
2463,234,1464,765,7,40,78,93,2282,131,8,4,風間浦村　　　
2422,254,1275,893,10,42,69,62,2693,161,10,4,佐井村　　　　
11299,1243,6290,3766,68,149,280,387,12302,527,31,19,三戸町　　　　
18712,1994,11023,5695,109,268,389,502,18249,582,68,24,五戸町　　　　
6175,675,3336,2164,31,104,129,163,6719,258,18,10,田子町　　　　
19853,2361,11345,6136,107,280,391,532,18392,700,63,40,南部町　　　　
14699,1835,9613,3189,63,125,475,568,10748,341,58,27,階上町　　　　
2851,275,1416,1160,15,56,54,67,2922,98,8,4,新郷村　　　　
298348,38771,192664,63721,2545,2524,12026,12205,316881,9479,1624,524,盛岡市　　　　
59430,7230,33792,18363,420,809,1441,1747,64619,2621,232,87,宮古市　　　　
40737,4834,23259,12552,243,496,977,1129,44626,1405,145,78,大船渡市　　　
101438,12819,59631,28869,699,1204,2253,2588,100747,2910,435,181,花巻市　　　　
93138,13544,58248,20771,866,871,3030,2922,98410,2312,463,234,北上市　　　　
36872,5211,21943,9718,297,445,931,1192,39845,1495,133,69,久慈市　　　　
29331,3333,15914,10070,194,452,529,731,30684,1238,99,45,遠野市　　　　
118578,14848,67990,35496,824,1596,2512,3071,127117,3708,510,227,一関市　　　　
23300,2732,12441,8125,143,319,560,541,22546,821,89,43,陸前高田市　　
39574,4436,21359,13772,286,661,978,1194,44923,2374,161,71,釜石市　　　　
29702,3637,17130,8878,212,407,773,915,32285,1173,104,55,二戸市　　　　
28680,3105,16431,9142,159,432,582,807,28984,955,102,43,八幡平市　　　
124746,15966,72529,36075,919,1452,2449,3003,125695,3666,491,245,奥州市　　　　
18033,2065,10762,5199,132,247,363,484,17625,414,76,23,雫石町　　　　
7304,643,3837,2824,32,162,139,207,7556,387,28,8,葛巻町　　　　
14984,1700,8609,4675,91,203,304,458,15230,502,62,26,岩手町　　　　
53857,7994,36344,9064,503,356,2493,2268,47782,942,328,125,滝沢村　　　　
33288,4577,20649,8052,228,324,1063,1055,28472,676,133,52,紫波町　　　　
27205,4027,17792,5354,213,206,962,1102,26550,360,120,49,矢巾町　　　　
6602,595,3170,2837,32,111,116,173,7295,324,21,12,西和賀町　　　
16325,2138,9907,4245,133,148,532,607,19717,359,94,35,金ケ崎町　　　
8345,989,4814,2541,56,112,161,193,7809,196,37,15,平泉町　　　　
9064,992,4946,3126,51,151,181,242,9154,258,27,13,藤沢町　　　　
6190,572,3220,2398,23,124,117,143,6597,249,15,8,住田町　　　　
15276,1749,8579,4948,89,216,289,432,14931,750,61,32,大槌町　　　　
18617,2329,10361,5927,105,292,410,491,18340,808,55,37,山田町　　　　
10804,1121,5599,4084,64,175,272,335,11887,714,33,13,岩泉町　　　　
3843,455,2087,1301,15,49,103,127,4123,142,10,3,田野畑村　　　
3088,356,1759,973,20,42,57,73,3037,113,13,3,普代村　　　　
10209,1120,5706,3383,58,175,235,295,10692,367,35,16,軽米町　　　　
4632,526,2713,1393,28,66,108,138,4429,152,18,6,野田村　　　　
6507,714,3548,2245,36,113,118,137,6491,226,27,8,九戸村　　　　
17913,2292,10154,5467,119,232,349,544,16869,707,61,35,洋野町　　　　
14187,1384,7893,4910,69,238,296,398,15368,676,58,8,一戸町　　　　
291436,33786,196688,54091,2281,2096,19283,18032,403753,10030,1697,495,　仙台市青葉区　　　　
190473,26106,131564,31426,2112,1127,12887,13323,204338,5658,1495,416,　宮城野区　　　
132306,16833,89308,23997,1210,916,8256,8120,133375,3817,895,245,　若林区　　　　
220588,30256,144159,44332,1947,1583,11450,11382,178255,6558,1217,455,　太白区　　　　
211183,29851,141660,37876,1741,1172,11760,11609,179260,4404,1138,372,　泉区　　　　　
160826,20214,96297,43747,1112,1828,3428,3846,167460,5400,706,317,石巻市　　　　
56490,6437,34476,15493,337,576,1642,2015,53397,1998,244,129,塩竈市　　　　
73489,8746,42004,22600,407,940,1205,1607,77773,2375,258,134,気仙沼市　　　
37422,4324,22453,10514,254,463,824,1003,38971,1080,146,67,白石市　　　　
73134,11147,47815,13945,546,537,4107,3065,65067,1310,377,127,名取市　　　　
31336,3819,18979,8507,200,371,794,1019,33453,723,112,60,角田市　　　　
63060,9453,41769,11531,649,427,4036,4342,57573,1445,405,151,多賀城市　　　
44187,6691,28729,8723,446,319,1895,2218,43054,831,250,102,岩沼市　　　　
83969,10530,49569,23762,615,1139,1487,1789,85186,1926,334,177,登米市　　　　
74932,8427,42079,24383,439,1084,1337,1729,77906,2234,263,112,栗原市　　　　
42903,6181,26751,9932,378,426,1318,1512,35793,1013,205,92,東松島市　　　
135147,18045,83774,32828,1142,1504,3845,3938,135969,3467,664,287,大崎市　　　　
12882,1530,7618,3734,65,165,373,371,12838,301,49,19,蔵王町　　　　
1694,152,794,748,4,38,62,69,1907,111,4,0,七ケ宿町　　　
23530,3397,14866,5201,250,220,935,963,22370,599,123,53,大河原町　　　
11995,1452,7278,3260,82,136,301,418,12574,252,56,24,村田町　　　　
39341,5000,25535,8482,305,304,1511,1783,36542,873,225,68,柴田町　　　　
9978,1115,5959,2904,56,132,301,319,9416,189,29,19,川崎町　　　　
15501,1678,8619,5202,91,251,284,413,14653,458,54,18,丸森町　　　　
34845,4654,21776,8078,255,323,1032,987,28840,632,146,68,亘理町　　　　
16704,1691,9729,5284,81,204,368,466,14467,464,56,25,山元町　　　　
15085,1510,8920,4654,78,150,353,503,14002,474,56,30,松島町　　　　
20416,2880,13132,4400,139,192,583,662,13750,331,75,53,七ケ浜町　　　
33994,5483,22934,5526,274,208,1756,1259,27382,389,149,67,利府町　　　　
24894,3657,16077,5152,246,246,1730,1201,27267,383,149,47,大和町　　　　
8927,982,5384,2561,58,113,205,228,8663,143,36,21,大郷町　　　　
47042,9249,31295,6412,490,208,2549,1766,31926,493,204,79,富谷町　　　　
5334,764,3279,1291,44,72,140,136,7406,91,23,10,大衡村　　　　
7431,960,4495,1976,54,81,229,227,7217,93,23,9,色麻町　　　　
